ecotype id	nativename	1_LD	2_LDV	3_SD	4_SDV	5_FT10	6_FT16	7_FT22	8_Seed Dormancy	9_Emco5	10_Emwa1	11_Emoy*	12_Hiks1	13_Noco2	14_Li7	15_B11	16_Na23	17_Mg25	18_P31	19_S34	20_K39	21_Ca43	22_Mn55	23_Fe56	24_Co59	25_Ni60	26_Cu65	27_Zn66	28_As75	29_Se82	30_Mo98	31_Cd114	32_<i>avrPphB</i>	33_<i>avrRpm1</i>	34_<i>avrRpt2</i>	35_<i>avrB</i>	39_0W	40_2W	41_4W	42_8W	43_FLC	44_FRI	45_8W GH FT	46_8W GH LN	47_0W GH FT	48_0W GH LN	57_FT Field	58_FT Diameter Field	59_FT GH	60_FT Duration GH	61_LC Duration GH	62_LFS GH	63_MT GH	64_RP GH	65_At1	66_At1 CFU2	67_As	68_As CFU2	69_Bs	70_Bs CFU2	71_At2	72_At2 CFU2	73_As2	74_As2 CFU2	75_FW 	76_DW 	77_LES	78_YEL 	79_LY 	80_LN10	81_LN16	82_LN22	158_Silique 16	159_Silique 22	161_Germ 10	162_Germ 16	163_Germ 22	164_Width 10	165_Width 16	166_Width 22	167_Chlorosis 10	168_Chlorosis 16	169_Chlorosis 22	170_Anthocyanin 10	171_Anthocyanin 16	172_Anthocyanin 22	173_Leaf serr 10	174_Leaf serr 16	175_Leaf serr 22	176_Leaf roll 10	177_Leaf roll 16	178_Leaf roll 22	179_Rosette Erect 22	182_Hypocotyl length	183_Trichome avg C	184_Trichome avg JA	185_Aphid number	186_Bacterial titer	272_Seedling Growth	273_Vern Growth	274_After Vern Growth	277_Secondary Dormancy	278_Germ in dark	279_DSDS50	280_Seed bank 133-91	281_Storage 7 days	282_Storage 28 days	283_Storage 56 days
5837	Bor-1	41.875	25.0	75.6667	42.3333	57.0	50.0	43.0	34.0	1.0	1.0	1.0	1.0	1.0	7.29728	80.9957	1159.9	13203.2	8640.28	11078.0	31498.1	24580.4	89.0445	62.4061	1.47198	2.93497	0.647707	66.3228	0.3294	7.59213	1.43417	4.55296	1.0	1.0	1.0	1.0	44.7	28.0	23.5	20.2	0.813	2.4135	27.6	15.8	34.1	21.6	158.042	25.1824	34.8845	22.505	72.08	57.1281	14.6875	37.0721	0.5	5.331	1.0	3.528	5.333	4.222	0.167	3.711	0.0	5.055	1.575	0.0925	0.0	0.0	0.0	21.0	28.0	23.0	1.4	0.9	7.0	4.0	2.0	4.5	8.5	10.5	0.0	1.0	1.0	0.0	1.0	0.0	0.5	1.0	1.0	1.0	1.0	0.0	0.0	4.47	15.3	23.3	16.5	15.7	0.00676544	0.00198257	0.0599347	1.47791	4.16667	41.2545	0.0	2.75	15.0	81.3899
6008	Duk	26.0	24.6667	69.6667	58.0	60.0	41.0	24.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.5	16.0	17.8	17.2	0.018	0.243	25.2	15.0	25.2	8.7	166.69	26.0618	24.379	16.4742	58.0526	41.0804	16.5362	33.3679	1.333	3.102	0.167	4.451	2.333	3.781	0.0	5.351	0.5	5.055	NA	NA	NA	NA	NA	24.0	13.0	13.0	NA	NA	5.0	3.0	2.0	2.4	8.2	6.2	0.0	1.0	1.0	0.0	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6009	Eden-1	200.0	47.0	NA	74.6667	98.0	151.0	250.0	2.0	1.0	1.0	NA	1.0	1.0	6.03735	75.7086	554.938	13658.8	8638.72	10806.1	27738.0	26800.3	118.62	62.6406	1.45684	4.04426	0.953108	67.5195	0.29967	7.72461	1.53644	3.2948	0.0	1.0	1.0	1.0	NA	125.0	78.6	31.5	0.939	1.3987	35.9	24.1	200.0	NA	180.792	26.0843	163.224	NA	NA	NA	NA	NA	1.0	3.936	2.5	5.091	1.5	5.556	4.6	4.406	0.25	5.144	0.3424	0.0304	1.0	0.0	1.0	31.0	79.0	178.0	1.4	0.9	5.0	4.0	4.0	2.4	7.8	7.7	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.97	69.0	46.5	27.3	9.2	0.009551	0.00239152	0.0877888	0.499325	65.0948	5.24274	-7.66e-20	70.1875	98.4375	100.0
6016	Eds-1	83.0417	35.0	200.0	55.0	75.0	101.0	113.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	125.0	78.2	NA	30.8	2.084	1.89	NA	NA	200.0	NA	180.088	21.4814	125.997	NA	NA	NA	NA	NA	0.667	3.82	0.333	4.577	4.0	4.981	1.4	3.737	0.667	4.675	NA	NA	NA	NA	NA	38.0	50.0	64.0	NA	NA	7.0	3.0	2.0	2.8	6.5	9.5	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.75	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6040	Kni-1	200.0	43.2	200.0	78.0	71.0	92.0	87.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	125.0	72.4	NA	33.0	2.321	1.901	33.3	30.4	86.0	91.1	187.514	28.4487	65.1273	32.6043	111.196	97.3101	13.1144	45.7053	0.667	3.362	0.5	5.176	1.333	4.721	0.667	4.078	0.333	4.816	NA	NA	NA	NA	NA	35.0	37.0	74.0	NA	NA	7.0	3.0	2.0	1.8	6.2	9.7	0.0	0.0	1.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6042	Lom1-1	29.1667	28.0	83.3403	53.6667	56.0	35.0	29.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.3	17.6	NA	16.6	0.052	0.425	26.4	16.1	23.0	9.7	152.963	29.1316	24.4555	21.1135	62.6891	45.6661	16.9943	38.2066	1.333	5.325	0.333	4.391	5.5	6.187	0.167	3.354	0.0	4.714	NA	NA	NA	NA	NA	17.0	13.0	9.0	NA	NA	5.0	3.0	2.0	2.0	8.5	9.0	1.0	1.0	1.0	0.0	1.0	0.0	0.5	1.0	1.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6043	Löv-1	200.0	52.8333	200.0	99.0	90.0	174.0	250.0	0.0	1.0	1.0	NA	0.0	0.0	5.03345	71.1552	389.432	11362.6	10083.6	12277.1	31362.8	24198.8	108.039	63.4751	1.29533	3.73757	0.992542	71.6353	0.194808	7.62001	2.27191	3.83151	0.0	NA	1.0	NA	125.0	125.0	125.0	NA	1.49	1.7791	43.4	37.9	200.0	NA	173.259	27.0311	166.469	NA	NA	NA	NA	NA	1.167	5.117	0.667	4.589	1.5	4.848	0.5	4.103	0.667	3.835	0.2332	0.0234	1.0	0.0	1.0	48.0	82.5	180.0	1.5	0.9	5.0	3.0	2.0	3.8	7.2	8.5	0.0	1.0	0.0	1.0	1.0	1.0	0.75	1.0	1.0	0.0	0.0	0.0	1.0	5.17	43.0	42.5	38.3	10.9	NA	0.00524101	0.103636	1.09419	42.1667	7.94253	8.36e-20	56.75	98.4127	100.0
6046	Löv-5	200.0	51.25	200.0	117.2	93.0	150.0	250.0	0.0	1.0	1.0	0.0	0.0	NA	4.89917	60.8062	570.525	11143.0	10502.2	13350.3	29433.5	22636.6	100.548	69.1097	1.31328	4.06472	1.10288	74.4334	0.274396	8.51511	2.32662	3.5933	0.0	NA	1.0	1.0	NA	NA	NA	36.8	3.324	4.3861	42.0	38.0	200.0	NA	170.863	27.4397	NA	NA	NA	NA	NA	NA	1.833	3.939	1.0	4.757	3.75	4.187	0.833	3.613	1.667	5.177	0.2529	0.0232	1.0	0.0	1.0	44.0	94.0	184.0	1.5	0.9	5.0	4.0	2.0	3.2	7.2	8.6	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.75	1.0	0.0	0.0	0.0	0.5	4.3	28.5	49.0	14.5	9.0	NA	0.0113693	0.170716	0.516917	77.5	12.4755	-8.25e-20	35.0	100.0	100.0
6064	Nyl-2	200.0	42.0	200.0	NA	96.0	201.0	250.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	125.0	125.0	71.9	26.9	1.234	0.838	37.1	27.6	200.0	NA	188.772	21.7971	166.221	NA	NA	127.604	NA	NA	0.5	3.482	0.0	4.323	6.333	5.027	1.333	5.669	1.833	4.127	NA	NA	NA	NA	NA	46.0	116.0	124.0	NA	NA	7.0	3.0	2.0	2.4	6.2	11.2	1.0	1.0	1.0	0.0	1.0	1.0	0.75	0.75	1.0	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6074	Ör-1	200.0	43.6	200.0	135.333	91.0	97.0	123.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	125.0	125.0	115.8	43.8	1.628	1.112	NA	NA	200.0	NA	174.899	31.2103	103.574	12.3641	115.924	116.162	-0.492884	11.8976	3.0	3.985	4.2	4.76	5.75	5.889	1.8	4.147	2.833	5.657	NA	NA	NA	NA	NA	37.0	42.0	158.0	NA	NA	7.0	3.0	2.0	2.5	7.2	15.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	0.75	0.75	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6243	Tottarp-2	35.8403	24.75	98.2014	50.0	56.0	41.0	29.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.4	21.6	NA	19.4	0.248	1.358	25.1	14.9	27.0	14.3	163.691	39.2225	28.3952	27.1637	73.2639	55.5621	18.3128	45.1504	2.833	5.36	0.2	5.5	6.5	3.204	1.0	4.965	0.833	6.024	NA	NA	NA	NA	NA	23.0	16.0	15.0	NA	NA	7.0	3.0	2.0	2.7	8.6	12.7	0.0	0.0	1.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6709	Bg-2	33.6736	26.5	96.7014	61.0	52.0	43.0	39.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37.4	24.8	NA	17.1	0.548	1.069	24.6	16.4	26.6	14.0	160.507	35.3529	25.4878	19.5004	66.4341	44.8206	21.7177	41.2736	1.167	3.771	1.5	3.221	7.167	3.395	0.0	4.388	2.5	5.742	NA	NA	NA	NA	NA	19.0	18.0	23.0	NA	NA	7.0	3.0	2.0	2.0	6.2	11.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.5	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
